Site;parnr;Lupin.NoLupin;Species;Occ
Brunkullsvägen;2;Lupin;Veronica chamaedrys;4
Brunkullsvägen;2;NoLupin;Achillea millefolium;14
Brunkullsvägen;2;NoLupin;Anthriscus sylvestris;1
Brunkullsvägen;2;NoLupin;Betula pubescens;3
Brunkullsvägen;2;NoLupin;Cerastium fontanum;1
Brunkullsvägen;2;NoLupin;Equisetum arvense;4
Brunkullsvägen;2;NoLupin;Gallium mollugo;12
Brunkullsvägen;2;NoLupin;Hieracium umbellatum;4
Brunkullsvägen;2;NoLupin;Lotus corniculatus;3
Brunkullsvägen;2;NoLupin;Lupinus polyphyllus;3
Brunkullsvägen;2;NoLupin;Noccaea caerulescens;1
Brunkullsvägen;2;NoLupin;Picea abies;1
Brunkullsvägen;2;NoLupin;Pilosella officinarum;2
Brunkullsvägen;2;NoLupin;Rumex acetosa;2
Brunkullsvägen;2;NoLupin;Rumex acetosella;6
Brunkullsvägen;2;NoLupin;Salix cinerea;4
Brunkullsvägen;2;NoLupin;Tragopogon pratensis;2
Bänntorpet;1;Lupin;Achillea millefolium;3
Bänntorpet;1;Lupin;Anthriscus sylvestris;8
Bänntorpet;1;Lupin;Betula pendula;1
Bänntorpet;1;Lupin;Chamaenerion angustifolium;1
Bänntorpet;1;Lupin;Cirsium heterophyllum;12
Bänntorpet;1;Lupin;Equisetum sylvaticum;2
Bänntorpet;1;Lupin;Fragaria vesca;1
Bänntorpet;1;Lupin;Geranium sylvaticum;3
Bänntorpet;1;Lupin;Hieracium sect. Hieracium agg.;7
Bänntorpet;1;Lupin;Hieracium sect. Tridentata;1
Bänntorpet;1;Lupin;Hieracium umbellatum;1
Bänntorpet;1;Lupin;Lathyrus linifolius;2
Bänntorpet;1;Lupin;Lathyrus pratensis;3
Bänntorpet;1;Lupin;Leucanthemum vulgare;3
Bänntorpet;1;Lupin;Lupinus polyphyllus;16
Bänntorpet;1;Lupin;Picea abies;7
Bänntorpet;1;Lupin;Pinus sylvestris;1
Bänntorpet;1;Lupin;Ranunculus acris subsp. acris;3
Bänntorpet;1;Lupin;Solidago virgaurea;5
Bänntorpet;1;Lupin;Taraxacum;1
Bänntorpet;1;Lupin;Vicia cracca;3
Bänntorpet;1;NoLupin;Achillea millefolium;8
Bänntorpet;1;NoLupin;Anthriscus sylvestris;12
Bänntorpet;1;NoLupin;Betula pubescens;4
Bänntorpet;1;NoLupin;Cirsium heterophyllum;1
Bänntorpet;1;NoLupin;Equisetum sylvaticum;4
Bänntorpet;1;NoLupin;Geranium sylvaticum;4
Bänntorpet;1;NoLupin;Hieracium sect. Hieracium agg.;1
Bänntorpet;1;NoLupin;Hieracium sect. Tridentata;3
Bänntorpet;1;NoLupin;Hieracium umbellatum;13
Bänntorpet;1;NoLupin;Lathyrus linifolius;1
Bänntorpet;1;NoLupin;Lathyrus pratensis;4
Bänntorpet;1;NoLupin;Leucanthemum vulgare;2
Bänntorpet;1;NoLupin;Lupinus polyphyllus;3
Bänntorpet;1;NoLupin;Luzula multiflora;1
Bänntorpet;1;NoLupin;Luzula pilosa;1
Bänntorpet;1;NoLupin;Noccaea caerulescens;7
Bänntorpet;1;NoLupin;Picea abies;5
Bänntorpet;1;NoLupin;Ranunculus acris subsp. acris;4
Bänntorpet;1;NoLupin;Ranunculus repens;3
Bänntorpet;1;NoLupin;Rubus saxatilis;16
Bänntorpet;1;NoLupin;Salix caprea;1
Bänntorpet;1;NoLupin;Solidago virgaurea;2
Bänntorpet;1;NoLupin;Taraxacum;6
Bänntorpet;1;NoLupin;Trifolium hybridum;1
Bänntorpet;1;NoLupin;Tussilago farfara;9
Bänntorpet;2;Lupin;Achillea millefolium;4
Bänntorpet;2;Lupin;Anthriscus sylvestris;8
Bänntorpet;2;Lupin;Cirsium heterophyllum;3
Bänntorpet;2;Lupin;Fragaria vesca;16
Bänntorpet;2;Lupin;Geranium sylvaticum;5
Bänntorpet;2;Lupin;Hieracium sect. Hieracium agg.;4
Bänntorpet;2;Lupin;Hieracium umbellatum;4
Bänntorpet;2;Lupin;Lathyrus linifolius;2
Bänntorpet;2;Lupin;Leucanthemum vulgare;4
Bänntorpet;2;Lupin;Lupinus polyphyllus;16
Bänntorpet;2;Lupin;Luzula multiflora;1
Bänntorpet;2;Lupin;Myosotis arvensis;1
Bänntorpet;2;Lupin;Picea abies;3
Bänntorpet;2;Lupin;Ranunculus acris subsp. acris;1
Bänntorpet;2;Lupin;Rubus saxatilis;10
Bänntorpet;2;Lupin;Scorzoneroides autumnalis;2
Bänntorpet;2;Lupin;Solidago virgaurea;1
Bänntorpet;2;Lupin;Taraxacum;11
Bänntorpet;2;Lupin;Trifolium medium;1
Bänntorpet;2;Lupin;Tussilago farfara;4
Bänntorpet;2;NoLupin;Achillea millefolium;10
Bänntorpet;2;NoLupin;Anemone nemorosa;1
Bänntorpet;2;NoLupin;Anthriscus sylvestris;7
Bänntorpet;2;NoLupin;Artemisia vulgaris;1
Bänntorpet;2;NoLupin;Cirsium heterophyllum;1
Bänntorpet;2;NoLupin;Fragaria vesca;11
Bänntorpet;2;NoLupin;Geranium sylvaticum;3
Bänntorpet;2;NoLupin;Hieracium sect. Hieracium agg.;5
Bänntorpet;2;NoLupin;Hieracium sect. Tridentata;1
Bänntorpet;2;NoLupin;Hieracium umbellatum;6
Bänntorpet;2;NoLupin;Leucanthemum vulgare;7
Bänntorpet;2;NoLupin;Lupinus polyphyllus;1
Bänntorpet;2;NoLupin;Myosotis arvensis;1
Bänntorpet;2;NoLupin;Picea abies;1
Bänntorpet;2;NoLupin;Ranunculus acris subsp. acris;2
Bänntorpet;2;NoLupin;Ranunculus repens;1
Bänntorpet;2;NoLupin;Rubus saxatilis;1
Bänntorpet;2;NoLupin;Scorzoneroides autumnalis;3
Bänntorpet;2;NoLupin;Selinum carvifolia;1
Bänntorpet;2;NoLupin;Solidago virgaurea;6
Bänntorpet;2;NoLupin;Taraxacum;10
