Datum;County;Site;N;E;Parnr;Lupin.NoLupin;Lupin;Swedish.name;Species;Occurrence;Veg.höjd 1 i cm;Veg.höjd 2;Veg.höjd 3;Veg.höjd 4;Veghgt.avg;Förna 1 i cm;Förna 2;Förna 3;Förna 4;Förna 5;Förna 6;Förna 7;Förna 8;Förna 9;Förna 10;Förna 11;Förna 12;Förna 13;Förna 14;Förna 15;Förna 16;Litt.avg
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Vårtbjörk;Betula pendula;1;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Åkerfräken;Equisetum arvense;6;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Åkertistel;Cirsium arvense;1;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Ängshaverrot;Tragopogon pratensis;4;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Flockfibbla;Hieracium umbellatum;1;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Hundkex;Anthriscus sylvestris;1;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Höstfibbla;Scorzoneroides autumnalis;2;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Litenblåklocka;Campanula rotundifolia;3;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Lupin;Lupinus polyphyllus;16;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Maskros;Taraxacum;1;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Prästkrage;Leucanthemum vulgare;2;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Röllika;Achillea millefolium;10;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Skogsklöver;Trifolium medium;6;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Smultron;Fragaria vesca;11;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Stormåra;Gallium mollugo;10;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Åkerfräken;Equisetum arvense;6;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;Lupin;Yes;Åkertistel;Cirsium arvense;1;;;;;48,75;;;;;;;;;;;;;;;;;0,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Flockfibbla;Hieracium umbellatum;3;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Groblad;Plantago major;1;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Grässtjärnblomma;Stellaria graminea;2;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Hundkex;Anthriscus sylvestris;10;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Höstfibbla;Scorzoneroides autumnalis;1;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Käringtand;Lotus corniculatus;8;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Litenblåklocka;Campanula rotundifolia;1;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Lupin;Lupinus polyphyllus;16;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Maskros;Taraxacum;3;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Röllika;Achillea millefolium;14;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Stormåra;Gallium mollugo;15;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Åkerfräken;Equisetum arvense;6;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;2;Lupin;Yes;Ängshaverrot;Tragopogon pratensis;1;;;;;45;;;;;;;;;;;;;;;;;2,2
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Blodrot;Potentilla erecta;1;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Flockfibbla;Hieracium umbellatum;4;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Glasbjörk;Betula pubescens;1;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Gråfibbla;Pilosella officinarum;1;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Hundkex;Anthriscus sylvestris;1;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Hästhov;Tussilago farfara;4;;;;;1,875;;;;;;;;;;;;;;;;;2,4
02-06-2020;Uppsala;Solbo;6637867.687;599567.525;1;NoLupin;No;Krattfibblor;Hieracium sect. Bifida;1;;;;;1,875;;;;;;;;;;;;;;;;;2,4
