County;Site;parnr;Lupin;Species;Veghgt.avg;Litt.avg;Light;Moisture;pH;Nitrogen;Family;Sp.length;Management.dependent;Occurrences
Uppsala;Kölnbacken;2;No;Taraxacum;12,5;0,2;NA;NA;NA;NA;Asteraceae;NA;1;6
Uppsala;Kölnbacken;2;No;Tragopogon pratensis;12,5;0,2;7;2;7;6;Asteraceae;55;1;4
Uppsala;Kölnbacken;2;Yes;Achillea millefolium;66,25;0,4;6;2;5;5;Asteraceae;45;1;2
Uppsala;Kölnbacken;2;Yes;Anthriscus sylvestris;66,25;0,4;5;5;6;7;Apiaceae;100;-1;7
Uppsala;Kölnbacken;2;Yes;Cirsium arvense;66,25;0,4;6;5;5;7;Asteraceae;95;-1;1
Uppsala;Kölnbacken;2;Yes;Equisetum arvense;66,25;0,4;5;4;6;5;Equisetaceae;30;0;15
Uppsala;Kölnbacken;2;Yes;Leucanthemum vulgare;66,25;0,4;6;3;6;4;Asteraceae;45;1;1
Uppsala;Kölnbacken;2;Yes;Lupinus polyphyllus;66,25;0,4;5;3;2;2;Fabaceae;85;-1;16
Uppsala;Kölnbacken;2;Yes;Ranunculus repens;66,25;0,4;4;7;5;7;Ranunculaceae;30;0;6
Uppsala;Kölnbacken;2;Yes;Rumex acetosa;66,25;0,4;6;5;5;6;Polygonaceae;60;1;1
Uppsala;Kölnbacken;2;Yes;Taraxacum;66,25;0,4;NA;NA;NA;NA;Asteraceae;NA;1;7
Uppsala;Kölnbacken;2;Yes;Tragopogon pratensis;66,25;0,4;7;2;7;6;Asteraceae;55;1;1
Uppsala;Kölnbacken;2;Yes;Trifolium medium;66,25;0,4;5;3;5;3;Fabaceae;27,5;1;1
Uppsala;Lilla harnevi;2;No;Cirsium arvense;6,875;2,4;6;5;5;7;Asteraceae;95;-1;12
Uppsala;Lilla harnevi;2;No;Gallium mollugo;6,875;2,4;5;3;5;5;Rubiaceae;65;0;5
Uppsala;Lilla harnevi;2;No;Lupinus polyphyllus;6,875;2,4;5;3;2;2;Fabaceae;85;-1;1
Uppsala;Lilla harnevi;2;No;Potentilla reptans;6,875;2,4;6;4;7;6;Rosaceae;15;0;7
Uppsala;Lilla harnevi;2;No;Ranunculus acris subsp. acris;6,875;2,4;5;5;4;7;Ranunculaceae;45;1;1
Uppsala;Lilla harnevi;2;No;Vicia cracca;6,875;2,4;5;5;6;3;Fabaceae;60;1;4
Uppsala;Lilla harnevi;2;No;Vicia tetrasperma;6,875;2,4;6;2;7;3;Fabaceae;42,5;1;3
Uppsala;Lilla harnevi;2;Yes;Cirsium arvense;63,75;2;6;5;5;7;Asteraceae;95;-1;11
Uppsala;Lilla harnevi;2;Yes;Gallium mollugo;63,75;2;5;3;5;5;Rubiaceae;65;0;4
Uppsala;Lilla harnevi;2;Yes;Lupinus polyphyllus;63,75;2;5;3;2;2;Fabaceae;85;-1;16
Uppsala;Lilla harnevi;2;Yes;Potentilla reptans;63,75;2;6;4;7;6;Rosaceae;15;0;4
Uppsala;Lilla harnevi;2;Yes;Succisa pratensis;63,75;2;5;6;5;2;Caprifoliaceae;42,5;1;2
Uppsala;Lilla harnevi;2;Yes;Trifolium repens;63,75;2;6;5;6;4;Fabaceae;20;1;1
Uppsala;Lilla harnevi;2;Yes;Urtica dioica;63,75;2;4;5;5;6;Urticaceae;115;-1;4
Uppsala;Lilla harnevi;2;Yes;Vicia cracca;63,75;2;5;5;6;3;Fabaceae;60;1;1
Uppsala;Lilla harnevi;2;Yes;Vicia tetrasperma;63,75;2;6;2;7;3;Fabaceae;42,5;1;1
Uppsala;Missionskyrkan;2;No;Achillea millefolium;10;3;6;2;5;5;Asteraceae;45;1;16
Uppsala;Missionskyrkan;2;No;Alchemilla vulgaris;10;3;NA;NA;NA;NA;Rosaceae;25;1;2
Uppsala;Missionskyrkan;2;No;Anthriscus sylvestris;10;3;5;5;6;7;Apiaceae;100;-1;8
Uppsala;Missionskyrkan;2;No;Equisetum arvense;10;3;5;4;6;5;Equisetaceae;30;0;12
Uppsala;Missionskyrkan;2;No;Fragaria vesca;10;3;4;4;5;4;Rosaceae;12,5;0;12
Uppsala;Missionskyrkan;2;No;Gallium mollugo;10;3;5;3;5;5;Rubiaceae;65;0;14
Uppsala;Missionskyrkan;2;No;Hypericum maculatum;10;3;5;3;3;5;Hypericaceae;55;1;2
Uppsala;Missionskyrkan;2;No;Leucanthemum vulgare;10;3;6;3;6;4;Asteraceae;45;1;6
Uppsala;Missionskyrkan;2;No;Lupinus polyphyllus;10;3;5;3;2;2;Fabaceae;85;-1;5
Uppsala;Missionskyrkan;2;No;Medicago lupulina;10;3;6;3;7;4;Fabaceae;22,5;1;10
Uppsala;Missionskyrkan;2;No;Pilosella cymosa;10;3;7;2;6;5;Asteraceae;60;0;5
Uppsala;Missionskyrkan;2;No;Potentilla reptans;10;3;6;4;7;6;Rosaceae;15;0;14
Uppsala;Missionskyrkan;2;No;Scorzoneroides autumnalis;10;3;6;5;6;5;Asteraceae;25;1;1
Uppsala;Missionskyrkan;2;No;Taraxacum;10;3;NA;NA;NA;NA;Asteraceae;NA;1;3
Uppsala;Missionskyrkan;2;No;Tragopogon pratensis;10;3;7;2;7;6;Asteraceae;55;1;4
Uppsala;Missionskyrkan;2;No;Trifolium hybridum;10;3;6;4;6;4;Fabaceae;35;1;5
Uppsala;Missionskyrkan;2;No;Trifolium repens;10;3;6;5;6;4;Fabaceae;20;1;1
Uppsala;Missionskyrkan;2;No;Tussilago farfara;10;3;5;6;6;5;Asteraceae;12,5;0;2
Uppsala;Missionskyrkan;2;No;Vicia sepium;10;3;3;4;6;4;Fabaceae;45;1;10
Uppsala;Missionskyrkan;2;No;Viola canina;10;3;5;4;3;2;Violaceae;12,5;0;1
Uppsala;Missionskyrkan;2;Yes;Achillea millefolium;51,25;3,2;6;2;5;5;Asteraceae;45;1;16
Uppsala;Missionskyrkan;2;Yes;Anthriscus sylvestris;51,25;3,2;5;5;6;7;Apiaceae;100;-1;5
Uppsala;Missionskyrkan;2;Yes;Cerastium fontanum;51,25;3,2;5;6;6;5;Caryophyllaceae;20;1;1
Uppsala;Missionskyrkan;2;Yes;Equisetum arvense;51,25;3,2;5;4;6;5;Equisetaceae;30;0;6
Uppsala;Missionskyrkan;2;Yes;Fragaria vesca;51,25;3,2;4;4;5;4;Rosaceae;12,5;0;7
Uppsala;Missionskyrkan;2;Yes;Galium boreale;51,25;3,2;5;5;7;4;Rubiaceae;45;1;2
Uppsala;Missionskyrkan;2;Yes;Gallium mollugo;51,25;3,2;5;3;5;5;Rubiaceae;65;0;13
Uppsala;Missionskyrkan;2;Yes;Hypericum maculatum;51,25;3,2;5;3;3;5;Hypericaceae;55;1;1
Uppsala;Missionskyrkan;2;Yes;Lupinus polyphyllus;51,25;3,2;5;3;2;2;Fabaceae;85;-1;16
Uppsala;Missionskyrkan;2;Yes;Pilosella cymosa;51,25;3,2;7;2;6;5;Asteraceae;60;0;1
Uppsala;Missionskyrkan;2;Yes;Potentilla reptans;51,25;3,2;6;4;7;6;Rosaceae;15;0;8
Uppsala;Missionskyrkan;2;Yes;Ranunculus repens;51,25;3,2;4;7;5;7;Ranunculaceae;30;0;1
Uppsala;Missionskyrkan;2;Yes;Rubus idaeus;51,25;3,2;5;5;3;6;Rosaceae;125;-1;1
Uppsala;Missionskyrkan;2;Yes;Taraxacum;51,25;3,2;NA;NA;NA;NA;Asteraceae;NA;1;8
Uppsala;Missionskyrkan;2;Yes;Trifolium hybridum;51,25;3,2;6;4;6;4;Fabaceae;35;1;1
Uppsala;Missionskyrkan;2;Yes;Trifolium medium;51,25;3,2;5;3;5;3;Fabaceae;27,5;1;4
Uppsala;Missionskyrkan;2;Yes;Vicia sepium;51,25;3,2;3;4;6;4;Fabaceae;45;1;1
Uppsala;Motocrossbanan ;1;No;Achillea millefolium;8,125;1,4;6;2;5;5;Asteraceae;45;1;12
Uppsala;Motocrossbanan ;1;No;Anemone nemorosa;8,125;1,4;4;5;4;6;Ranunculaceae;19;-1;1
Uppsala;Motocrossbanan ;1;No;Anthriscus sylvestris;8,125;1,4;5;5;6;7;Apiaceae;100;-1;1
Uppsala;Motocrossbanan ;1;No;Equisetum arvense;8,125;1,4;5;4;6;5;Equisetaceae;30;0;5
Uppsala;Motocrossbanan ;1;No;Fragaria vesca;8,125;1,4;4;4;5;4;Rosaceae;12,5;0;15
Uppsala;Motocrossbanan ;1;No;Gallium mollugo;8,125;1,4;5;3;5;5;Rubiaceae;65;0;1
Uppsala;Motocrossbanan ;1;No;Geranium sylvaticum;8,125;1,4;4;5;5;5;Geraniaceae;47,5;0;2
Uppsala;Motocrossbanan ;1;No;Hieracium sect. Bifida;8,125;1,4;5;3;6;3;Asteraceae;NA;0;2
Uppsala;Motocrossbanan ;1;No;Hieracium sect. Tridentata;8,125;1,4;6;3;3;4;Asteraceae;70;0;1
Uppsala;Motocrossbanan ;1;No;Leucanthemum vulgare;8,125;1,4;6;3;6;4;Asteraceae;45;1;4
Uppsala;Motocrossbanan ;1;No;Lupinus polyphyllus;8,125;1,4;5;3;2;2;Fabaceae;85;-1;5
Uppsala;Motocrossbanan ;1;No;Luzula multiflora;8,125;1,4;5;3;4;4;Juncaceae;30;2;2
Uppsala;Motocrossbanan ;1;No;Lychnis flos-cuculi;8,125;1,4;5;7;5;6;Caryophyllaceae;45;1;4
Uppsala;Motocrossbanan ;1;No;Noccaea caerulescens;8,125;1,4;5;2;4;3;Brassicaceae;22,5;2;6
Uppsala;Motocrossbanan ;1;No;Pilosella cymosa;8,125;1,4;7;2;6;5;Asteraceae;60;0;9
Uppsala;Motocrossbanan ;1;No;Ranunculus acris subsp. acris;8,125;1,4;5;5;4;7;Ranunculaceae;45;1;8
Uppsala;Motocrossbanan ;1;No;Rubus saxatilis;8,125;1,4;3;5;5;5;Rosaceae;22,5;-1;13
Uppsala;Motocrossbanan ;1;No;Viola riviniana;8,125;1,4;3;5;5;4;Violaceae;15;0;3
Uppsala;Motocrossbanan ;1;Yes;Achillea millefolium;72,5;0,4;6;2;5;5;Asteraceae;45;1;15
Uppsala;Motocrossbanan ;1;Yes;Anthriscus sylvestris;72,5;0,4;5;5;6;7;Apiaceae;100;-1;7
Uppsala;Motocrossbanan ;1;Yes;Campanula rotundifolia;72,5;0,4;6;3;5;4;Campanulaceae;30;2;2
Uppsala;Motocrossbanan ;1;Yes;Equisetum arvense;72,5;0,4;5;4;6;5;Equisetaceae;30;0;7
Uppsala;Motocrossbanan ;1;Yes;Fragaria vesca;72,5;0,4;4;4;5;4;Rosaceae;12,5;0;10
Uppsala;Motocrossbanan ;1;Yes;Gallium mollugo;72,5;0,4;5;3;5;5;Rubiaceae;65;0;2
